name,latitude,longtitude
강남구립역삼푸른솔도서관,37.4964986405,127.0320300084
세실아트홀,37.5281527704,127.0318444257
도봉기적의도서관,37.6812003,127.0502366
개포디지털혁신파크 열림관,37.4882029,127.0629127
누하동 259,37.57850118282355,126.96889603561056
해공체육문화센터,37.5421167,127.1297250
은평구립도서관,37.6190451,126.9283998
소나무언덕3호도서관,37.4923333378351,127.156646308601
프랑스문화원,37.5595936,126.9737305
노화랑,37.5748997,126.9839998
구로구민체육센터,37.5066167,126.8533046
구로아트밸리예술극장,37.4966724,126.8888810
금천구청,37.4570784,126.8957012
금천구시설관리공단,37.4457770,126.9026540
관악구민종합체육센터,37.4730143,126.9601883
단성갤러리,37.5738854,126.9852786
개포도서관,37.4829604,127.0637690
은평역사한옥박물관,37.6404009547,126.9380554763
